nTrial,trialType,X1,Y1,T1,X2,Y2,T2,X3,Y3,T3,X4,Y4
487,7,781,615,1,894,62,1.543749e+02,NaN,NaN,3.539158e+02,NaN,NaN
488,1,629,412,1,1252,434,3.697405e+01,NaN,NaN,4.204893e+02,NaN,NaN
489,6,808,70,1,904,715,-3.085941e+01,495,368,3.127740e+02,1192,307
490,4,1200,438,1,502,290,2.111755e+02,777,30,3.468278e+02,831,630
491,3,1075,378,1,535,315,1.580806e+02,NaN,NaN,3.961665e+02,NaN,NaN
492,2,473,351,1,1080,305,1.413073e+02,813,84,2.807073e+02,857,775
493,3,1075,378,1,635,415,9.939551e+01,NaN,NaN,3.889587e+02,NaN,NaN
494,3,1175,378,1,635,415,2.401447e+02,NaN,NaN,4.243354e+02,NaN,NaN
495,4,1200,438,1,502,290,6.025517e+01,777,30,2.798296e+02,831,630
496,1,629,312,1,1252,434,1.228802e+02,NaN,NaN,3.494160e+02,NaN,NaN
497,8,952,657,1,806,76,-1.691596e+01,1154,430,3.472886e+02,491,330
498,2,473,451,1,1180,305,-8.999354e+00,913,-16,2.877004e+02,857,675
499,8,852,757,1,906,76,7.164037e+01,1154,330,3.846464e+02,591,330
500,7,881,615,1,794,162,3.413079e+01,NaN,NaN,4.133938e+02,NaN,NaN
501,3,1175,378,1,535,415,1.110882e+02,NaN,NaN,3.664055e+02,NaN,NaN
